"X","summary","fkre.GOLD","fkgl.GOLD","fogi.GOLD","smog.GOLD","cole.GOLD","auto.GOLD","t_word.GOLD","t_stopword.GOLD","t_punct.GOLD","t_syll.GOLD","t_syll2.GOLD","t_syll3.GOLD","t_uword.GOLD","t_sent.GOLD","t_char.GOLD","t_kup.GOLD","t_bry.GOLD","t_subtlex_us_zipf.GOLD","t_n_ent_law.GOLD","summary_generated","fkre.GEN","fkgl.GEN","fogi.GEN","smog.GEN","cole.GEN","auto.GEN","t_word.GEN","t_stopword.GEN","t_punct.GEN","t_syll.GEN","t_syll2.GEN","t_syll3.GEN","t_uword.GEN","t_sent.GEN","t_char.GEN","t_kup.GEN","t_bry.GEN","t_subtlex_us_zipf.GEN","t_n_ent_law.GEN"
356,"Skilled Worker Immigration and Fairness Act - Amends the Immigration and Nationality Act to exempt from the annual H-1B (specialty occupation/fashion models) visa cap an alien who has: (1) earned a master's or higher degree in science, technology, engineering, or mathematics from an institution of higher education outside of the United States; or (2) been awarded a medical specialty certification based on post-doctoral training and experience in the United States.

Sets H-1B annual limits at: (1) 115,000 for FY2007; and (2) for each subsequent fiscal year, the greater of 115,000 or a market-based calculation.

Exempts from numerical limitations on employment-based immigrants: (1) aliens who have earned advanced degrees in science, technology, engineering, or math and have been working in their fields in the United States under a nonimmigrant visa in the three years prior to filing for adjustment; (2) recipients of national interest waivers; and (3) immediate relatives of employment-based immigrants.

Permits an alien (and dependents) to file for adjustment of status whether or not an employment-based immigrant visa is immediately available if: (1) a petition on behalf of the alien has been approved; or (2) adjudication of such petition is pending.

Revises H-1B provisions with respect to: (1) application fraud and misrepresentation; (2) employer penalties; (3) Department of Labor investigations; (4) Department of Labor and Department of Homeland Security (DHS) information sharing; (5) information provided to an H-1B nonimmigrant upon visa issuance; (6) prohibiting H-1B-exclusive employment advertising; and (7) prohibiting an employer of fewer than 50 employees in the United States from having more than 50% H-1B nonimmigrant employees.",6.972,25.752,31.865,13.993,14.768,30.593,346,98,75,464,69,30,146,5,1509,1387.44,1111.632,1193.59,0,"Skilled Worker Immigration and Fairness Act - Amends the Immigration and Nationality Act to increase the annual H-1B immigrant visa (specialty occupation) cap from 20,000 to 20,000 beginning in FY2007. Exempts from such cap an alien who has been awarded a medical specialty certification based on post-doctoral training and experience in the United States. Exempts from H-1B caps an alien who has earned a masters or higher degree in science, technology, engineering, or mathematics from an institution of higher education outside of the United States.<n><n>Establishes annual H-1B market-based visa limits of 115,000 in FY2007 and 180,000 in each subsequent fiscal year.<n><n>Revises H-1B provisions with respect to: (1) employment-based immigrant status adjustment; and (2) related fraud protections.",22.709,20.195,25.775,10.939,15.716,24.731,140,40,18,206,29,11,85,3,687,636.75,508.282,522.94,0
360,"Small Business Lending to Entrepreneurs for Growth in Underserved Populations Act of 2011 or the Small Business Leg-Up Act of 2011 - Requires, upon the expiration of investment authority for the Small Business Lending Fund Program provided in the Small Business Jobs Act of 2010, that all unobligated funds in the Small Business Lending Fund be transferred to the Community Development Financial Institutions (CDFI) Fund. Directs that all funds received in connection with certain purchases of preferred stock and other financial instruments pursuant to such authority be transferred to the CDFI Fund.

 Amends the Riegle Community Development and Regulatory Improvement Act of 1994 to direct the Administrator of the CDFI Fund to carry out a Small Business Capital Investment (SBCI) Program (a small business revolving loan program) to continue making capital investments in eligible community development financial institutions in order to increase the availability of credit for small businesses.

Requires that: (1) all funds the Administrator receives in connection with SBCI Program purchases be deposited in the CDFI Fund, and (2) the authority to make such capital investments continue so long as specified funding amounts are available.

Allows eligible community development financial institutions (with maximum assets of $10 billion as reported in audited financial statements) to apply to receive a capital investment of up to 10% of total assets, or another appropriate percentage determined by the Administrator.

Directs the Administrator, to the extent practicable and except as otherwise provided, to carry out the SBCI Program in the same manner as the Small Business Lending Fund Program.",14.227,22.082,29.507,12.559,15.691,26.09,289,99,28,458,79,29,124,6,1456,1152.08,911.529,1251.739,1,"Small Business Lending to Entrepreneurs for Growth in Underserved Populations Act of 2011 or the Small Business Leg-Up Act of 2011 - Requires, upon the expiration of investment authority for the Small Business Lending Fund Program provided in the Small Business Jobs Act of 2010, that all unobligated funds in the Small Business Lending Fund be transferred to the Community Development Financial Institutions (CDFI) Fund.",0.294,29.366,37.692,17.138,15.406,36.432,72,23,7,108,19,9,43,1,357,162.92,136.595,316.481,1
361,"United States Armed Forces Protection Act of 1996 - States certain congressional findings and policy concerning the placement of U.S. armed forces under United Nations (UN) operational or tactical control. Prohibits Department of Defense funds from being obligated or expended for activities of any element of the armed forces that is placed under UN operational or tactical control, unless:  (1) the President, at least 15 days before UN control is to become effective (or not later than 48 hours afterwards in an emergency), certifies to the Congress that such action is in the national security interests; or (2) such placement is specifically authorized by law or is part of a North Atlantic Treaty Organization operation. Specifies information to be submitted with the President's certification, including:  (1) information on the national security interests to be advanced; (2) the mission, size, and composition of the U.S. forces involved; (3) the command and control relationship of the U.S. forces with the UN command structure and with the U.S.  unified command for the region; (4) the exit strategy for, and withdrawal authority of, U.S. forces; and (5) the anticipated monthly incremental cost of U.S. participation and the percentage that such cost represents of the total anticipated monthly incremental costs of all nations expected to participate in the operation. Provides that this Act shall not apply to activities of the armed forces carried out as part of specified ongoing activities of the UN Preventive Deployment Force in Macedonia or the UN Transitional Administration for Eastern Slavonia, Baranja, and Western Sirmium in Croatia. Requires that members of the armed forces be informed of their unit's mission and their chain of command in any operation to which their unit is assigned. Prohibits U.S. military personnel from being required to wear UN insignia except when such insignia is specifically authorized by law with respect to a particular UN operation.",6.37,25.413,31.667,13.993,14.212,29.312,357,136,42,548,84,36,161,6,1680,1559.53,1264.341,1541.053,0,"United States Armed Forces Protection Act of 1996 - Expresses the sense of the Congress that: (1) the President should fully comply with all applicable law governing the deployment of the Armed Forces to United Nations (UN) peacekeeping operations; (2) the President should consult closely with the Congress regarding any UN peace operation that could involve U.S. combat forces and that such consultations should continue; (3) the President should consult with the Congress before a vote within the UN Security Council on any resolution which would authorize, extend, or revise the mandate for any such activity; (4) the United States should participate in such operations only when it is clearly in the national security interest to do so; (5) U.S. combat forces should be under the operational control of qualified commanders and should have clear and effective command and control arrangements and rules of engagement; and (6) none of the Armed Forces should be under the operational control of foreign nationals in UN peace enforcement operations except in the most extraordinary circumstances. <n>Amends Federal law to prohibit funds appropriated or otherwise made available for the Department of Defense (DOD) from being obligated or expended for activities of any element of the armed forces that after enactment of this Act is placed under UN operational or tactical control, except in specified circumstances. Provides that such prohibition shall not:",-13.983,34.173,40.14,16.158,14.779,41.541,258,108,29,388,55,24,132,3,1235,1114.81,967.726,1161.791,0
365,"Intermediate-Range Nuclear Forces (INF) Treaty Preservation Act of 2017 This bill states U.S. policy that: (1) Russian actions in violation of the the Treaty between the United States of America and the Union of Soviet Socialist Republics on the Elimination of their Intermediate-Range and Shorter-Range Missiles (INF treaty) constitute a material breach, (2) the United States is legally entitled to suspend the treaty, and (3) the United States should take certain actions to bring Russia into compliance.  The bill authorizes additional appropriations for: (1) development of active defenses to counter ground launched missile systems, (2) counterforce and countervailing capabilities, and (3) missile system transfers to allied countries.  The Department of Defense shall: (1) establish a program to develop a dual-capable road-mobile ground-launched cruise missile system with a range of 500 to 5,500 kilometers; (2) report on the feasibility of modifying the tomahawk, standard missile-3, standard missile-6, long-range stand off cruise missile, and Army tactical missile for ground-launch with such range; and (3) report on the AEGIS Ashore sites with anti-air warfare capability necessary in Asia and Europe to defend U.S. forces and allies from Russian ground launched missile systems. The Director of National Intelligence, every 90 days for five years, shall determine whether Russia has flight tested, produced, or possesses a system that is inconsistent with the treaty and that has reached initial operational capability and is, or is about to be, deployed. No funds may be obligated or expended to extend the New START Treaty after 2021, permit Russian flights over the United States or U.S. allies pursuant to the Open Skies Treaty, permit the approval of new implementation decisions through the Open Skies Consultative Commission, or approve any license to export an item or technology to a Russian person or entity unless the President certifies that Russia has eliminated all missiles that are in violation of, or inconsistent with, the INF treaty. The Department of State shall conduct a review of Russia's RS-26 ballistic missile system. Upon a determination that Russia has flight-tested, produced, or is in possession of certain missiles, the President shall suspend the application of the INF treaty to the United States and notify the other state parties to the treaty of Russia's material breach of, and the U.S. decision to suspend, the treaty. ",12.51,25.462,30.193,11.22,13.985,30.922,461,153,68,638,76,27,194,7,2094,1939.37,1576.555,1911.303,0,"(This measure has not been amended since it was passed by the Senate on September 6, 2017. Intermediate-Range Nuclear Forces (INF) Treaty Preservation Act of 2017 This bill states that it is U.S policy to: (1) suspend the operation of the Treaty between the United States and the Union of Soviet Socialist Republics on the Elimination of Their Intermediate-Range and Shorter-Range Missiles (INF Treaty) if the Russian Federation continues to violate the treaty, and (2) encourage the Russian Federation to return to compliance. The bill requires the Department of Defense to submit annual reports on: the status of the Russian Federation's ground-launched cruise missile, its capabilities, and the threat it poses to the United States and its allies in the region; whether the United States faces significant military disadvantages with the introduction of the INF range missile; gaps in the current U.S. missile defense infrastructure; gaps in capability that a new U.S. intermediate range missile, that is not compliant with the treaty, would address in Europe and Asia; and the time line for fielding, and the cost for deployment of, an INF range missile. The Department of State must submit an annual report that includes a plan: (1) describing how the United States will coordinate with its European allies to enhance missile detection",21.513,23.798,28.589,11.425,13.192,29.478,251,95,33,335,37,16,121,4,1128,961.97,839.913,1103.621,0
366,"Radiation Experimentation Compensation Act of 1995 - Apologizes on behalf of the Nation to the individuals who were the subjects of radiation experiments conducted by the Federal Government, as well as to their families for the hardships they have endured as a result. 
Establishes in the Treasury the Radiation Experimentation Compensation Trust Fund for compensating the subjects of experiments conducted between January 1, 1940, and December 31, 1974, during which the subjects were intentionally injected with plutonium or zirconium, or exposed to total body radiation, without their informed consent.  Authorizes appropriations. 
Directs the Attorney General to establish procedures for the submission of claims and for payment from amounts in the Fund of each claim meeting the requirements of this Act. 
Provides for payments in cases of deceased experimental subjects. 
States that payments under this Act which are accepted by a subject or the subject's survivors shall be in full satisfaction of all claims of or on behalf of the subject against the United States arising out of the subject's participation in the experiment.  Provides that a payment under this Act shall not affect any claim against an insurance carrier with respect to insurance or against any person with respect to workers' compensation. 
Provides for judicial review of denied claims. 
Establishes a time limit for the filing of claims of 20 years after enactment of this Act.",41.732,13.925,19.806,8.726,13.467,15.977,253,112,18,385,55,21,123,9,1233,1193.21,985.007,1173.079,0,"Radiation Experimentation Compensation Act of 1995 - Declares that it is the purpose of this Act to establish a procedure to make partial restitution to the individuals used in certain Federal radiation experiments for the burdens they have borne for the Nation as a whole, although monetary compensation can never fully compensate them. Declares that the Congress apologizes on behalf of the Nation to such individuals and their families for the hardships they have endured because of the experiments. <n>Establishes the Radiation Experimentation Compensation Trust Fund in the Treasury. Directs that amounts in the Fund be: (1) invested in accordance with specified law; and (2) available only for disbursement by the Attorney General (AG) under this Act. Terminates the Fund not later than the earlier of: (1) the date on which the amount authorized to be appropriated to it and any income earned on such amount have been expended; or (2) 22 years after this Act's enactment. Requires deposits in the Fund, if all of the amounts in it have not been expended, to be deposited in it, and all funds remaining in the Fund to be deposited in the miscellaneous receipts account in the Treasury. Authorizes appropriations. <n>Entitles any individual who, without the individual's informed consent, was intentionally injected with plutonium or",43.947,13.961,20.818,10.099,12.47,15.827,248,118,28,351,54,25,122,8,1126,1098.41,884.274,1128.729,0
367,"TABLE OF CONTENTS: 
     Title I:  Trade Remedy Actions 
     Title II:  Extension and Modification of Fair Trade in 
          Auto Parts Act 
Fair Trade in Motor Vehicle Parts Act of 1993 - 
Title I:  Trade Remedy Actions
 - Declares that any act, policy, or practice of a deficit foreign country that adversely affects the access to its market of U.S. motor vehicle parts (including, but not limited to, any act, policy, or practice utilized in such country's motor vehicle distribution system) shall, for purposes of ""301"" action under the Trade Act of 1974, be considered as an act, policy, or practice that is unjustifiable and burdens or restricts U.S.  commerce.  Directs the United States Trade Representative (USTR) to determine what action to take under the Act to eliminate such act, policy, or practice. 
Requires an agenda for negotiations with countries the USTR has taken action against to include:  (1) a certain percentage of guaranteed sales in the deficit foreign country's market of U.S. motor vehicle parts; (2) the elimination or modification of the aspects of such country's motor vehicle distribution system that act as a barrier to U.S. motor vehicle parts; and (3) the exchange between such country and the United States of information concerning bilateral trade in such parts.  Requires the USTR to make certain estimates with respect to the current percentage of such country's market for motor vehicle parts that is accounted for by U.S.  motor vehicle parts. 
Requires the Secretary of Commerce (Secretary) to commence an antidumping duty investigation to determine if imports of motor vehicle parts from a deficit foreign country, or sales (or the likelihood of sales) of such imports, constitute grounds for the imposition of antidumping duties. 
Title II:  Extension and Modification of Fair Trade in Auto Parts Act
 - Amends the Fair Trade in Auto Parts Act of 1988 to extend such Act through December 31, 1998.  Directs the Secretary, among other things, to coordinate:  (1) U.S. policy regarding auto parts and the market for auto parts by the Japanese; and (2) the sharing of data and market information among U.S.  agencies, including the Department of the Treasury, the Department of Justice, the Department of Commerce, and the Office of the USTR.",36.819,18.889,24,9.521,11.605,22.736,451,149,61,581,65,25,153,9,1924,1718.31,1420.127,1786.426,4,"Fair Trade in Motor Vehicle Parts Act of 1993 - Declares that the United States Trade Representative (USTR) shall immediately proceed to determine what action to take with respect to any act, policy, or practice of a deficit foreign country that adversely affects the access to such country's market of motor vehicle parts produced by U.S. motor vehicle parts manufacturers (including, but not limited to, any act, policy, or practice utilized in such country's motor vehicle distribution system). Requires that any such act, policy, or practice: (1) guarantee for sales in the deficit foreign country's market of motor vehicle parts produced by U.S. motor vehicle parts manufacturers if the unfair act, policy, or practice did not exist; (2) eliminate or modify the aspects of the deficit foreign country's motor vehicle distribution system that adversely affect such access; or (3) impose any other act, policy, or practice that adversely affects such access.",-15.799,34.592,38.073,13.398,13.712,41.018,182,57,28,263,28,11,78,2,811,870.57,701.945,734.451,0
368,"Judicial Amendments Act of 1994 - Amends the Federal judicial code to make moneys in the Judiciary Automation Fund available to the Director of the Administrative Office of the United States Courts for: (1) the procurement of automatic data processing equipment (equipment) for program activities included in the courts of appeals, district courts, and other judicial services account of the judicial branch; and (2) support personnel in the courts and in the Administrative Office.  Authorizes all agencies of the judiciary to make deposits into the Fund. 
Requires the Director to develop and annually revise a long range plan for meeting the equipment needs of the activities funded, including an annual estimate of certain fees that may be collected under the Judiciary Appropriations Act, 1991.  Provides for the deposit into the Fund of such fees. 
Requires the Director's annual report to the Congress on the operation of the Fund to include:  (1) the specific actions taken and progress made to improve the plan developed, the long range automation plan, and the strategic business plan; and (2) a comparison of planned and actual Fund expenditures and accomplishments and reasons for any delays in scheduled systems development or budget overruns. 
Authorizes the Director to transfer amounts up to $1 million from the Fund into the account to which the Funds were originally appropriated, with amounts in excess of that sum in any fiscal year permitted to be transferred only by following specified reprogramming procedures. 
Requires the Director to:  (1) develop an overall strategic business plan which would identify the judiciary's missions, goals, and objectives,  and a long range automation plan based on the strategic business plan and user needs assessments; (2) establish effective Administrative Office oversight of court automation efforts; (3) expedited efforts to complete the development and implementation of life cycle management standards; (4) utilize the standards in developing the next generation of case management and financial systems; and (5) assess the current utilization and future user requirements of the data communications network. 
Amends:  (1) the Judicial Improvements and Access to Justice Act to authorize appropriations for court arbitration; and (2) the Civil Justice Reform Act of 1990 to extend civil justice expense and delay reduction pilot programs.",23.241,20.479,27.293,12.487,14.293,24.294,433,145,54,631,99,43,185,9,2039,2064.94,1623.114,1819.697,1,"Judicial Amendments Act of 1994- Amends the Federal judicial code to: (1) expand the scope of activities for which fees may be collected from the Judicial Automation Fund; (2) authorize all agencies of the judiciary to make deposits into the Fund to meet their automatic data processing needs; (3) increase the amount authorized to be deposited into the Fund; and (4) require the Director of the Administrative Office of the United States Court to develop and report annually to the Congress on a long range automation plan and strategic business plan. <n>Authorizes the transfer of up to $1 million from the Fund into the account to which the funds were originally appropriated for the development of a long range automation plan. Limits any such transfer to compliance with reprogramming procedures under the Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, 1989. <n>Requires the Director to: (1) develop an overall strategic business plan which would identify the judiciary's missions, goals, and objectives; (2) develop a long range automation plan based on the strategic business plan and user needs assessments; (3) establish effective Administrative Office oversight of court automation efforts to ensure the effective operation of existing systems and control over developments of future systems; (4) expedite efforts to complete the development and implementation of life cycle management standards; (5) utilize the",8.285,26.575,34.287,15.115,14.354,32.256,270,89,37,384,64,28,129,4,1252,1206.87,995.652,1115.133,0
370,"Water Infrastructure Improvement Act (Sec. 3) This bill amends the Federal Water Pollution Control Act (commonly known as the Clean Water Act) to allow municipalities to develop a plan that integrates wastewater and stormwater management. A permit for a municipal discharge under the national pollutant discharge elimination system that incorporates an integrated plan may integrate all requirements under the Act addressed in the plan, such as requirements relating to combined sewer overflows, sanitary sewer collection systems, and total maximum daily loads. A plan that is incorporated into a permit may include the implementation of green infrastructure and projects to reclaim, recycle, or reuse water. Green infrastructure includes measures that mimic natural processes to store, reuse, or reduce stormwater. Those permits may include a schedule of compliance that allows actions for meeting water quality-based effluent limitations to be implemented over more than one permit term if the compliance schedules are authorized by state water quality standards.  A municipality under an administrative order or settlement agreement may request a modification of the order or settlement based on the municipality's integrated plan. The EPA must report on each integrated plan developed and implemented through a permit, order, or judicial consent decree since June 5, 2012, including a description of the control measures, levels of control, estimated costs, and compliance schedules for the requirements implemented through such a plan. (Sec. 4) The bill establishes an Office of the Municipal Ombudsman in the Environmental Protection Agency (EPA) to provide: (1) technical assistance to municipalities seeking to comply with the Clean Water Act, and (2) information to the EPA to ensure that agency policies are implemented by all EPA offices. (Sec. 5) The EPA must promote the use of green infrastructure.                        ",27.242,15.443,20.152,10.166,15.687,16.818,332,110,43,530,76,38,151,12,1651,1669.03,1306.285,1387.423,3,"Water Infrastructure Improvement Act This bill amends the Federal Water Pollution Control Act (commonly known as the Clean Water Act) to allow municipalities to develop a plan that integrates all requirements under the Act addressed in the plan, including requirements relating to a combined sewer overflow, a capacity, management, operation, and maintenance program for sanitary sewer collection systems, a municipal stormwater discharge, a municipal wastewater discharge, and a water quality-based effluent limitation to implement an applicable wasteload allocation in a total maximum daily load. An integrated plan may include the implementation of projects, including innovative projects, to reclaim, recycle, or reuse water and green infrastructure. A permit issued under the Act that incorporates an integrated plan may include a schedule of compliance, under which actions taken to meet any applicable water quality-based effluent limitation may be implemented over more than one permit term if the schedule: (1) is authorized by state water quality standards; and (2) meets federal regulations concerning implementation of water quality-based effluent limitations over more than one permit term.",-19.64,30.49,34.99,17.138,17.461,34.786,202,61,27,346,51,27,106,3,1032,1083.2,823.33,839.062,2
375,"Serving our Rural Veterans Act of 2017 This bill authorizes the Department of Veterans Affairs (VA) to pay for the training and employment of Veterans Health Administration medical residents and interns at a covered facility, which includes: (1) a VA facility; (2) a facility operated by an Indian tribe, a tribal organization, or the Indian Health Service; (3) a federally-qualified health center; or (4) a community health center. (Currently, such payments are authorized only for VA facilities.)   The VA shall carry out an eight-year pilot program to establish or affiliate with graduate medical education residency training programs at not more than four facilities. The VA shall reimburse each participating facility for the costs of:  curriculum development;  recruitment, training, supervision, and retention of residents and faculty; accreditation of education programs;  faculty salaries attributable to program activities; and other expenses relating to providing medical education under the program.   A program participant: (1) shall agree to one year of obligated service at a covered or a VA facility for each year of partipation in the program, (2) who fails to satisfy the obligated service period shall be liable to the United States for a prorated portion of the amount paid for program participation, and (3) during the period of obligated service, shall be eligible for participation in the Indian Health Service Loan Repayment Program and the VA Education Debt Reduction Program.  A covered facility for pilot program purposes means a facility: (1) operated by an Indian tribe, a tribal organization, or the Indian Health Service that has an existing reimbursement agreement with the VA; and (2) located in a rural or remote area.",11.3,23.194,29.181,14.377,13.786,25.947,332,107,54,488,74,38,138,6,1483,1380.41,1103.853,1341.793,0,". Serving our Rural Veterans Act of 2017 (Sec. 2) This bill expresses the sense of Congress that: (1) the Department of Veterans Affairs (VA) relies on agreements with the Indian Health Service (IHS) and tribal health organizations to serve native and non-native veteran populations in certain areas, especially rural areas, due to limited infrastructure or personnel of the VA in those areas; (2) the VA should support the practice of rural health care in the United States because such care is crucial to fulfilling the VA's mission to provide the highest quality care for veterans; and (3) education regarding the unique health needs of veterans is necessary for all health care providers and is especially important for providers in rural health care delivery systems, including those affiliated with Indian tribes and tribal health organizations that care for a significant number of veterans. (Sec. 3) The bill authorizes the VA to pay for the costs associated with establishing graduate medical education residency training programs at facilities operated by an Indian tribe or a tribal organization, operated by the IHS, or a federally-qualified health center. The VA shall carry out a pilot program that establishes such programs at not more than four such facilities that have been selected by the VA for purposes of the program. The VA shall reimburse each such facility participating in the program for costs",36.654,16.31,21.491,10.796,13.031,18.815,260,95,30,372,48,25,122,7,1193,1203.8,976.773,1148.798,0
379,"Alaska Native Veterans Land Allotment Equity Act - Amends the Alaska Native Claims Settlement Act (ANCSA) with respect to the open season during which certain Alaska Native Vietnam veterans are eligible to file for allotments of up to two parcels of federal land totaling up to 160 acres. Ends such open season three years after regulations have been issued under this Act.

Revises the requirements for selection of such allotments. Allows allotments to be selected from land that is selected by or conveyed to the State of Alaska or a Native Corporation if the State or Native Corporation voluntarily relinquishes or conveys to the United States the land for the allotment.

Limits the prohibition against the conveyance of certain allotments to: (1) lands within the right-of-way granted for the TransAlaska Pipeline; or (2) the inner or outer corridor of such right-of-way.

Expands the eligibility for allotment to veterans who served between August 5, 1964, and May 7, 1975. Allows an heir (currently, only the personal representative or special administrator for the benefit of heirs) to apply for and receive an allotment on behalf of the estate of a deceased eligible individual.

Prescribes criteria for the approval of allotment applications.

Permits any person who made an allotment selection under this Act to withdraw it and reselect land in accordance with this Act, if the land originally selected: (1) was selected before enactment of this Act; and (2) as of the enactment of this Act, was not conveyed to the person.",43.874,14.234,20.449,7.125,11.9,15.866,293,118,36,407,58,14,134,9,1292,1335.69,1093.851,1269.085,0,"Alaska Native Veterans Land Allotment Equity Act - Amends provisions of the Alaska Native Claims Settlement Act (ANCSA) that allow certain Alaska Native Vietnam veterans to file for allotments of up to two parcels of federal land totaling up to 160 acres.<n><n>Eliminates the requirement that limits the allotments to lands that were vacant, unappropriated, and unreserved on the date when the person eligible for the allotment first used and occupied them. Allows allotments to be selected from vacant federal lands or lands that have been selected or conveyed to the state of Alaska or an Alaska Native corporation, if the state or corporation voluntarily relinquishes or conveys the land to the United States for allotment.<n><n>Excludes allotments from land located within: (1) a right-of-way of the TransAlaska Pipeline; or (2) an inner or outer corridor of such a right-of-way.<n><n>Authorizes a person who qualifies for an allotment to select an alternative allotment from land that is: (1) located within the boundaries of specified withdrawn federal land, and not selected, or relinquished after selection, except for vacant, unappropriated, and unreserved land within a National Park; or (2) contiguous to an outer boundary of land withdrawn (unless that land is within a National Park) or",-42.351,45.251,52.667,15.115,13.85,55.046,240,94,30,354,56,14,102,2,1099,1042.52,869.187,1008.98,0
383,"Requires the Attorney General, in carrying out the program, to: (1) make and track grants; and (2) provide for technical assistance and training, in addition to data collection and dissemination of relevant information, and general program administration.  Directs the Attorney General to appoint or designate an Administrator to carry out the program.
Sets forth initial grant and renewal requirements.  Directs that a grant recipient (coalition) submit to the Attorney General a comprehensive plan for reducing violent juvenile crime that meets specified requirements, such as ensuring that: (1) heavy emphasis is placed on coordinated enforcement initiatives; (2) there is close collaboration between police and probation officers in the supervision of juvenile offenders; (3) a program is in place to trace all firearms seized from crime scenes or offenders in an effort to identify illegal gun traffickers; and (4) a program is in place to divert nonviolent juvenile offenders into substance or alcohol abuse treatment.
Requires coalitions to establish a system to measure and report outcomes, devise a detailed model for measuring and evaluating success, and provide assurances that the plan will be evaluated regularly to assess progress in reducing violent juvenile crime.  Directs the Attorney General to give priority to coalitions representing communities with demonstrated juvenile crime and drug abuse problems.
Sets forth provisions regarding grant amounts, permitted use of funds, a Comptroller General report to Congress reviewing program effectiveness, and information collection and dissemination with respect to coalitions.  Authorizes appropriations.",16.915,18.57,25.305,10.099,16.474,20.628,285,87,38,463,80,25,137,8,1434,1582.75,1208.224,1175.293,0,"Requires a coalition, to be eligible for consideration, to submit to the Attorney General or the Attorney General's designee: (1) a comprehensive plan for reducing violent juvenile crime; and (2) a system to measure and report outcomes consistent with common indicators and evaluation protocols, and a detailed model for measuring and evaluating the success of the coalition in reducing violent juvenile crime. Sets forth grant priorities.",20.047,18.785,27.131,9.033,15.174,20.838,78,26,11,121,23,5,50,2,374,432.68,310.054,330.414,0
385,"This bill amends the Federal Food, Drug, and Cosmetic Act to replace the requirement that the Food and Drug Administration (FDA) prioritize review of breakthrough medical devices with a requirement that the FDA establish a program to provide priority review for breakthrough medical devices. Prior to submitting an application for approval, a medical device sponsor may request that the FDA designate the medical device for priority review. The FDA must provide a summary of the basis for its determination regarding designation. To expedite the development and review of designated medical devices, the FDA must:  assign a team of staff for each device, adopt an efficient process for dispute resolution, provide for interactive communication with the device sponsor, expedite review of manufacturing and quality systems compliance, disclose to the sponsor in advance the topics of any consultation between the FDA and external experts or an advisory committee and provide the sponsor the opportunity to recommend external experts, assign staff to address questions by institutional review committees concerning investigational use of the device.  The FDA may: (1) coordinate with the sponsor regarding early agreement on a data development plan; (2) take steps to ensure that the design of clinical trials is as efficient as practicable; (3) utilize timely postmarket data collection; and (4) agree to clinical protocols, subject to an FDA determination that changes are required to prevent an unreasonable risk to the public health or that a substantial scientific issue is essential to the safety or effectiveness of the device.",7.916,24.626,30.598,11.708,15.33,29.078,281,103,30,439,66,21,130,5,1384,1564.66,1260.111,1229.416,0,"Amends the Federal Food, Drug, and Cosmetic Act to require the Secretary of Health and Human Services (HHS) to establish a program to provide priority review for devices: (1) representing breakthrough technologies; (2) for which no approved alternatives exist; (3) offering significant advantages over existing approved or cleared alternatives; (4) offering significant advantages over existing approved or cleared alternatives; or (5) the availability of which is in the best interest of patients. Sets forth the process for the priority review of a request made by a device sponsor.",6.434,23.293,29.418,13.398,15.333,26.047,109,33,21,162,26,11,62,2,497,492.44,442.949,424.226,0
