summary_clean,summary_tag
"Firearms Corrections and Improvements Act - Amends firearms provisions of the federal criminal code to: (1) lift restrictions on the possession, transfer, and importation of machineguns, and certain other shotguns and rifles, for contractors providing national security services for the United States and training related to such services, and for manufacturers for testing, research, design, or development purposes; (2) prohibit the Attorney General from charging any tax or fee for any background check by the national instant criminal background check system; (3) permit juveniles to possess and use a handgun or ammunition for certain activities without written parental consent if the parent is present when the juvenile is using the handgun; (4) eliminate certain reporting requirements for multiple handgun sales (more than one sale within five days) by dealers to state police and law enforcement agencies; (5) prohibit the Attorney General from electronically retrieving records of gun dealers who have gone out of business by name or any personal identification code; (6) limit disclosure of trace records; and (7) allow importation of barrels, frames, and receivers for firearms other than handguns for repair or replacement purposes.","[{'label': 'NAN', 'score': 'NAN'}]"
"New Automobile Add-On Disclosure and Consumer Protection Act - Requires each dealer to disclose to each consumer that purchases a new automobile: (1) a dealer add-on invoice; and (2) a dealer add-on warranty statement.Specifies the timing of such disclosures.States that dealer violation of this Act results in liability to the United States for a civil penalty of not more than $10,000 or the total cost of the new automobile involved (including add-ons, taxes, and any other fees charged to the customer by the dealer), whichever is greater.Permits a private right of action by a consumer aggrieved by a violation of this Act.","[{'label': 'specifically,', 'score': 0.6370058059692383}, {'label': 'further,', 'score': 0.11563743650913239}, {'label': 'or,', 'score': 0.1649377942085266}, {'label': 'accordingly', 'score': 0.21909551322460175}]"
"Small Business Tax Fairness and Simplification Act of 2007 - Amends the Internal Revenue Code to: (1) allow self-employed individuals to participate in cafeteria pension plans; (2) allow long-term care insurance under cafeteria plans and flexible spending arrangements; (3) allow accelerated amortization of certain intangible assets (e.g., good will) acquired from a small business; (4) increase the tax exclusion of gain from the sale of certain small business stock; (5) provide a $2,500 standard tax deduction for home business expenses; (6) permit certain small businesses to elect a taxable year ending in a month from April to November; (7) increase the allowable number of S corporation shareholders; and (8) exempt certain small businesses from withholding of tax requirements for payments made by government entities.","[{'label': 'NAN', 'score': 'NAN'}]"
"Close the Revolving Door Act of 2014 - Amends the federal criminal code to impose a lifetime ban on any former Senator, Member of the House of Representatives, or elected officer of the Senate or House of Representatives lobbying any current Member, officer, or employee of Congress or any employee of any other legislative office (currently, the ban is for two years after a Senator leaves office and one year after a Member of the House of Representatives leaves office). Extends such ban from one to six years for officers and employees of the Senate, personal staff of Members, committee staff, leadership staff, and other legislative offices. Prohibits for a six-year period the hiring of a registered lobbyist or agent of a foreign principal by a Member of Congress or a congressional committee with whom the lobbyist or agent has had a substantial lobbying contact. Amends the Lobbying Disclosure Act of 1995 to: (1) direct the Secretary of the Senate and the Clerk of the House of Representatives to maintain a joint lobbyist disclosure Internet database for information required to be publicly disclosed by such Act, (2) require a substantial lobbying entity to file with Congress a list of any employees who provide paid consulting services and who are former Members of Congress or highly-paid congressional staffers, and (3) increase the civil penalty for violations of the disclosure or reporting provisions of such Act. ","[{'label': 'specifically,', 'score': 0.1798229068517685}, {'label': 'additionally', 'score': 0.21433977782726288}, {'label': 'specifically,', 'score': 0.27427464723587036}, {'label': 'NAN', 'score': 'NAN'}]"
"Tracing and Recalling Agricultural Contamination Everywhere Act of 2007 or TRACE Act of 2007- Amends the Federal Meat Inspection Act to direct the Secretary of Agriculture to establish a traceability system for all stages of manufacturing, processing, packaging, and distribution of food.States that cattle, sheep, swine, goats, horses, mules and other equines, and poultry presented for slaughter for human consumption, and the carcasses or parts of carcasses and the meat and food products of those animals, shipped in interstate commerce shall be identified in a manner that enables the Secretary to trace: (1) each animal to any location at which the animal was held at any time before slaughter; and (2) each carcass or part of a carcass and food product forward from slaughter through processing and distribution to the ultimate consumer.Directs the Secretary to establish a traceability system for all stages of production, processing, and distribution of meat and meat food products produced through the slaughter of such animals.Authorizes the Secretary to: (1) prohibit or restrict entry to a slaughtering establishment of an animal not so identified; and (2) require a person or entity to maintain records.Amends the Poultry Products Inspection Act and the Egg Products Inspection Act to establish similar provisions for poultry and poultry products and for eggs and egg products.","[{'label': 'specifically,', 'score': 0.42456862330436707}, {'label': 'NAN', 'score': 'NAN'}, {'label': 'further,', 'score': 0.21539674699306488}, {'label': '[no-conn]', 'score': 0.36780792474746704}, {'label': 'specifically,', 'score': 0.5164453387260437}]"
"Federal Workforce Reduction and Realignment Commission Act - Establishes an independent Federal Workforce Reduction and Realignment Commission to develop and submit to the President and the Congress recommendations for reducing the number of Federal employees nationwide in non-defense-related agencies by 250,000.","[{'label': 'specifically,', 'score': 0.2521529793739319}]"
"Medicaid Expansion Incentive Act of 2017 This bill amends title XIX (Medicaid) of the Social Security Act to provide additional federal Medicaid funding to states&nbsp;participating in&nbsp;Medicaid expansion under the Patient Protection and Affordable Care Act. The amount of additional funding shall be&nbsp;based upon the net reduction in federal funding&nbsp;for nonparticipating states. The Centers for Medicare &amp; Medicaid Services must publish annually,&nbsp;with respect to&nbsp;each nonparticipating state: (1) the amount of federal funding forgone by the state as a result of its nonparticipation, and (2) the number of individuals who would have gained coverage had the state participated.","[{'label': 'specifically,', 'score': 0.24734526872634888}, {'label': 'further,', 'score': 0.10638080537319183}, {'label': 'specifically,', 'score': 0.5789342522621155}]"
"Children's Act for Responsible Employment of 2005 - CARE Act of 2005 - Amends the Fair Labor Standards Act of 1938 (FLSA) to repeal certain exemptions from child labor prohibitions for agricultural employment. Allows an exemption only if: (1) the agricultural employment of an individual under 16 occurs outside of school hours; and (2) such individual is employed by a parent or a person standing in place of a parent on a farm owned or operated by such parent or person. Raises from 16 to 18 years old the minimum age for engaging in hazardous agricultural employment. Eliminates a waiver for hand-harvesting of certain crops.Increases civil and criminal penalties for child labor violations.Directs the Secretary of Labor to analyze data and report to Congress on work-related injuries to children and related matters. Requires employers to report on work-related serious injuries and illnesses, and deaths, of agricultural employees under 18 years of age.Directs the Secretary to: (1) employ at least 100 additional inspectors within the Wage and Hour Division of the Department of Labor to enforce child labor laws; and (2) provide for a ten percent increase in the budget for the Employment Standards Division within the office of the Solicitor of Labor to increase prosecution of violations of such laws. Incorporates into FLSA child labor requirements certain federal standards for protecting workers exposed to pesticides. Reconciles civil penalties for violations of such standards affecting child workers imposed by the Secretary under FLSA and by the Administrator of the Environmental Protection Agency under the Federal Insecticide, Fungicide, and Rodenticide Act.Amends the Workforce Investment Act of 1998 to direct the Secretary to make competitive grants for specified types of programs for migrant and seasonal farmworker youth dropout prevention.","[{'label': 'specifically,', 'score': 0.5355936288833618}, {'label': '[no-conn]', 'score': 0.20080359280109406}, {'label': 'nationally,', 'score': 0.35079270601272583}, {'label': 'additionally', 'score': 0.39144739508628845}, {'label': 'additionally', 'score': 0.42677628993988037}, {'label': 'specifically,', 'score': 0.21347323060035706}, {'label': 'additionally', 'score': 0.29305562376976013}, {'label': 'further,', 'score': 0.32711341977119446}, {'label': 'separately,', 'score': 0.18835735321044922}, {'label': 'specifically,', 'score': 0.20388829708099365}, {'label': 'specifically,', 'score': 0.5849199891090393}]"
"Energy Consumers Relief Act of 2013 - Requires the Administrator of the Environmental Protection Agency (EPA), before promulgating a final rule that regulates any aspect of the production, supply, distribution, or use of energy (or that provides for such regulation by state or local governments) and that is estimated by the Administrator or the Director of the Office of Management and Budget (OMB) to impose aggregate costs of more than $1 billion, to submit a report that contains: (1) an estimate of the total costs and benefits of the rule, (2) an estimate of the increases in energy prices that may result from implementation or enforcement of the rule, and (3) a detailed description of the employment effects that may result from implementation or enforcement of the rule. Requires the Secretary of Energy (DOE): (1) to prepare an independent analysis to determine whether such rule will cause any increase in energy prices for consumers, any impact on fuel diversity of the nation's electricity generation portfolio or on electric reliability, or any adverse effect on energy supply, distribution, or use; and (2) upon making such a determination, to determine whether the rule will cause significant adverse effects to the economy and publish such determination in the Federal Register. Prohibits the Administrator from promulgating any such final rule if the Secretary determines that such rule will cause significant adverse effects to the economy. Prohibits the Administrator from using the social cost of carbon in any cost-benefit analysis relating to an energy-related rule estimated to cost more than $1 billion unless and until a federal law is enacted authorizing such use. ","[{'label': 'NAN', 'score': 'NAN'}, {'label': 'NAN', 'score': 'NAN'}, {'label': 'further,', 'score': 0.4294091761112213}, {'label': 'further,', 'score': 0.22564148902893066}]"
"Freedom from Government Competition Act of 2009 - Requires each executive or military department or independent establishment to obtain all goods and services necessary for or beneficial to the accomplishment of its authorized functions by procurement from private sources, except if: (1) such goods or services are required by law to be produced or performed by such agency; or (2) the head of the agency determines and certifies that federal production or performance is necessary for the national defense or homeland security, that a good or service is so inherently governmental in nature that it is in the public interest to require production or performance by government employees, or that there is no private source capable of providing the good or service.Requires such private sector provision of goods and services to be performed through: (1) the divestiture of federal involvement; (2) the award of a contract using competitive procedures; (3) converting an activity to performance by a qualified firm under at least 51% ownership by an Indian tribe or a Native Hawaiian Organization; or (4) conducting a public-private competitive sourcing analysis in accordance with Office of Management and Budget (OMB) procedures and determining that using the private sector is in the best interest of the United States and provides the best value to the taxpayer.Authorizes an agency head to utilize federal employees to provide goods or services previously provided by a private sector entity upon completion of a public-private competitive sourcing analysis and after determining that provision by federal employees provides the best value.Requires the Director to carry out a study, in conjunction with the Comptroller General, to evaluate the activities carried out in each agency.","[{'label': 'NAN', 'score': 'NAN'}, {'label': 'NAN', 'score': 'NAN'}, {'label': 'specifically,', 'score': 0.22613650560379028}, {'label': 'further,', 'score': 0.1828303039073944}]"
"TABLE OF CONTENTS: Title I: Federal Juvenile Proceedings Title II: Grant Program for at Risk Juveniles Juvenile Crime Avoidance and Prevention Act of 1996 - Title I: Federal Juvenile Proceedings - Amends the Federal criminal code to require an appropriate Federal authority (designated by the Attorney General), before any decision is made to proceed against a juvenile as a juvenile or as an adult, or to refer the juvenile to State authorities, to perform an initial intake screening to determine whether that juvenile is an at risk juvenile. Requires a juvenile who is determined to be at risk and who is proceeded against as a juvenile to be referred to a youth development specialist. Provides that if a juvenile is referred to State authorities for further proceedings or transferred for prosecution as an adult, the results of the screening shall be made available to those authorities or to the entity to which the juvenile is so transferred. Requires the screening body to determine that a juvenile is at risk if it determines that the juvenile is likely to exhibit recidivist or increasingly violent crimes, based on specified factors. Limits the use of such determination. Sets forth provisions regarding: (1) the qualifications and duties of the youth development specialist, including determining a course of action for the juvenile that will avoid continued criminal activity and monitoring the juvenile's progress through the court system; and (2) data collection and dissemination by the Attorney General. Title II: Grant Program for At Risk Juveniles - Directs the Attorney General to award: (1) grants to an entity that has implemented specified at risk juvenile screening programs and youth development specialist referral services; and (2) not more than $10,000 each year for each juvenile that receives services to an entity that meets the requirements of this title. Sets forth provisions regarding: (1) eligibility; and (2) permissible uses of grant funds. Authorizes appropriations. Specifies that funds authorized may be appropriated from the Violent Crime Reduction Trust Fund.","[{'label': 'NAN', 'score': 'NAN'}, {'label': 'additionally', 'score': 0.40172359347343445}, {'label': 'further,', 'score': 0.3592100441455841}, {'label': 'specifically,', 'score': 0.3694494664669037}, {'label': 'generally,', 'score': 0.3017007112503052}, {'label': 'additionally', 'score': 0.2796524465084076}, {'label': 'specifically,', 'score': 0.29274874925613403}, {'label': 'specifically,', 'score': 0.6396942734718323}, {'label': '[no-conn]', 'score': 0.08570857346057892}, {'label': 'additionally', 'score': 0.36903172731399536}]"
"Pine River Indian Irrigation Project Act of 2009 - Directs the Secretary of the Interior to study the irrigation infrastructure of the Pine River Indian Irrigation Project, Colorado, and develop a list of activities that are recommended to be implemented over a 10-year period to repair, rehabilitate, or reconstruct that infrastructure.Requires the Secretary to prioritize activities based on: (1) a review of specified priority factors (i.e., threats to health and safety; the extent of disrepair and its effect on the ability of Project users to irrigate agricultural land; the extent to which infrastructure repair would provide an opportunity to conserve water; the economic and cultural impacts the disrepair has, and benefits the repair would have, on the Tribe; the opportunity to address water supply or environmental conflicts through repair; and overall benefits of the activity to efficient water operations on the land of the Tribe); (2) recommendations of the Tribe; and (3) a consideration of projected benefits on Project completion.Authorizes the Secretary to provide grants to, and enter into cooperative agreements with, the Tribe to repair, rehabilitate, reconstruct, or replace the Project's irrigation infrastructure. Prohibits such assistance from being used for on-farm improvements. Requires the Secretary, in providing assistance, to coordinate the activity with any work being conducted under the irrigation operations and maintenance program of the Bureau of Indian Affairs (BIA).Caps the federal share of the total cost at 75%, subject to a waiver or limitation on the nonfederal share, at the Tribe's request.","[{'label': 'specifically,', 'score': 0.5313904881477356}, {'label': 'NAN', 'score': 'NAN'}, {'label': 'additionally', 'score': 0.2727322578430176}, {'label': '[no-conn]', 'score': 0.10306470841169357}, {'label': '[no-conn]', 'score': 0.12640254199504852}]"
"Sets forth requirements for: (1) agency payments to day laborers for excessive processing time; (2) civil damages and criminal penalties for certain employer violations; (3) itemized wage statements, annual earnings summaries, and optional payment schedules; (4) no charges for cashing wage payment checks or for overpayments; (5) nondiscrimination; (6) adequate seating, restrooms and water in waiting areas; (7) no restrictions on worker acceptance of permanent positions, but allowance placement fees paid to agencies by employers; (8) health care liability for injuries on the job or in transit; (9) agency notices, including employer lists and descriptions of jobs, wages, and other working conditions; (10) equitable expenses for day laborer meals, transportation, and equipment; (11) agency registration with the Secretary of Labor; and (12) Department of Labor enforcement of this Act.Amends the National Labor Relations Act to make it an unfair labor practice for employers to offer and grant: (1) permanent replacement employee status or other employment preferences to individuals for performing bargaining unit work for the employer during a labor dispute; or (2) any employment preference based on an individual's being employed, or having indicated a willingness to be employed, during a labor dispute, over any employee who was there at dispute commencement, has exercised rights through the labor organization involved in the dispute, and is working for the employer, or has unconditionally offered to return to such work.","[{'label': 'NAN', 'score': 'NAN'}, {'label': 'NAN', 'score': 'NAN'}]"
"Infant Protection and Baby Switching Prevention Act of 2011 - Amends title XVIII (Medicare) of the Social Security Act to require certain hospitals reimbursed under Medicare, which also provide neonatal and infant care, to have in effect security procedures to reduce the likelihood of infant patient abduction and baby switching, including procedures for identifying all infant patients in the hospital in a manner that ensures that it will be evident if infants are missing. Establishes civil penalties for failure to have such security procedures in effect.Amends the federal criminal code to prohibit and establish criminal penalties for baby switching in hospitals.","[{'label': 'specifically,', 'score': 0.4880746304988861}, {'label': 'specifically,', 'score': 0.18656419217586517}, {'label': 'separately,', 'score': 0.21350891888141632}]"
"Jay S. Hammond Wilderness Act Designates approximately 2,600,000 acres of National Wilderness Preservation System land in the Lake Clark National Park and Preserve in Alaska as the &quot;Jay S. Hammond Wilderness Area.&quot; ","[{'label': '[no-conn]', 'score': 0.7409594058990479}]"
"Journey Through Hallowed Ground National Heritage Area Education and Tourism Act of 2007 - Establishes the Journey Through Hallowed Ground National Heritage Area which may consist of the 175-mile region following the Route 15 corridor and surrounding areas through Pennsylvania, Maryland, West Virginia, and Virginia.Designates the Journey Through Hallowed Ground Partnership as the management entity for the Area. Requires the membership on the Board of Trustees of the Partnership to be open to the public and to include representatives from a broad cross-section of individuals, agencies, organizations, states, and governments participating in the Area that will oversee the development of the management plan.Requires the Partnership to develop a management plan for the Area that presents strategies and recommendations for promoting tourism within the Area and for educating the public about the historic significance of the Area.Makes the Federal Advisory Committee Act inapplicable to the Board of Trustees.","[{'label': '[no-conn]', 'score': 0.2999066412448883}, {'label': '[no-conn]', 'score': 0.27488598227500916}, {'label': 'additionally', 'score': 0.17028331756591797}, {'label': 'specifically,', 'score': 0.3715190887451172}, {'label': 'accordingly', 'score': 0.41677147150039673}]"
"She Is Ready Act - Prohibits the Secretaries of the military departments (the Secretaries) from unduly delaying the assignment of female members of the Armed Forces to military occupational specialties, positions, and units because of the absence of a cadre or critical mass of female members available for such assignment. Requires the Secretary of Defense (DOD) to direct the Secretaries to open for assignment of women all positions in occupations that are open to female members in any unit of the Armed Forces. Requires the Secretary of Defense to direct: (1) the Secretaries to validate the gender-neutral occupational standards used by the Armed Forces for the purpose of ensuring that such standards: (1) are consistent with provisions requiring performance outcome-based standards for the successful accomplishment of the necessary and required specific tasks associated with the qualifications and duties performed; (2) accurately predict performance of actual, regular, and recurring duties of a military occupation; and (3) are applied equitably to measure individual capabilities. Requires the Secretary of Defense to: (1) direct the Secretaries to provide greater transparency of women in service implementation plans and ensure that a statement of administration policy is created to reflect the mission of the plan and its intent on responsibly opening all jobs, positions, and units to female members of the Armed Forces; (2) promptly respond whenever one of the Secretaries submits a notice of newly opened jobs, positions, or units to female members of the Armed Forces; and (3) ensure all closed positions and units are open to female members of the Armed Forces by January 1, 2016, consistent with the Joint Memorandum issued on January 24, 2013, regarding the elimination of the 1994 Direct Ground Combat Definition and Assignment Rule. Requires the Secretary of the Navy to provide Congress with information on: (1) what process and metrics were used to validate the physical standards applicable to members of the Navy and Marine Corps; and (2) Marine Corps research involving female members of the Marine Corps who volunteer for the Infantry Officers Course, the enlisted infantry training course, and the Ground Combat Element Experimental Task Force. Makes any female member of the Marine Corps who graduates from the enlisted infantry course eligible for assignment to an infantry occupational specialty. Requires: (1) the Secretary of the Army to permit female members of the Army to apply to Army Ranger School for leadership training opportunities, and (2) the Secretary of Defense to direct the Special Operations Command to submit to Congress the type of approach and methodology it will be using for the integration of women into the Special Operations Forces. Requires the Secretary of Defense to direct the Secretaries to take immediate steps to ensure that properly designed and fitted combat equipment is available and distributed to female members of the Armed Forces. Directs the Comptroller General to conduct a review of Services' Outreach and Recruitment Efforts gauged toward women representation in the officer corps.","[{'label': 'specifically,', 'score': 0.5962309837341309}, {'label': 'specifically,', 'score': 0.21472492814064026}, {'label': 'NAN', 'score': 'NAN'}, {'label': 'NAN', 'score': 'NAN'}, {'label': 'specifically,', 'score': 0.7588925957679749}, {'label': 'additionally', 'score': 0.4931831955909729}, {'label': 'specifically,', 'score': 0.2502599060535431}, {'label': 'specifically,', 'score': 0.3942292630672455}, {'label': 'specifically,', 'score': 0.21804508566856384}]"
